experiment_id,cluster_id,dataset,run_category,hierarchy,model_family,fl_method,aggregation,clustering_method,rounds,best_validation_round,best_validation_f1,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,communication_cost_per_round_bytes,total_communication_cost_bytes,wall_clock_training_seconds,summary_path,round_metrics_path,metrics_csv_path,model_manifest_path,ledger_path,convergence_plot_path,control_variate_bytes,control_variate_communication_cost_per_round_bytes,final_server_control_variate_l2_norm,input_adapter,membership_hash,model_input_layout,mu,n_subclusters,num_leaf_clients,test_confusion_matrix
A_C1,1,HAI 21.03,baseline_flat,flat,cnn1d,FedAvg,weighted_arithmetic_mean,none,50,50,0.0,0.9896690879741727,0.0,0.0,0.0,0.8340363011743599,0.3551872102134908,0.0,139872,6993600,96.1244998339971,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/runs/A_C1/run_summary.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/runs/A_C1/round_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/metrics/A_C1_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/models/A_C1/model_manifest.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/ledgers/A_C1_ledger.jsonl,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/plots/convergence_A_C1.svg,,,,sliding_window_feature_channels,,,,,12,"[[24524, 0], [256, 0]]"
A_C2,2,TON IoT combined telemetry,baseline_flat,flat,cnn1d,FedAvg,weighted_arithmetic_mean,none,50,50,0.8,0.6666666666666666,0.6666666666666666,1.0,0.8,0.7558120101835532,0.8241162054228939,1.0,4920,246000,14.661226582997188,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/runs/A_C2/run_summary.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/runs/A_C2/round_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/metrics/A_C2_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/models/A_C2/model_manifest.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/ledgers/A_C2_ledger.jsonl,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/plots/convergence_A_C2.svg,,,,feature_vector_as_sequence,,,,,15,"[[0, 5925], [0, 11850]]"
A_C3,3,WUSTL-IIOT-2021,baseline_flat,flat,cnn1d,FedAvg,weighted_arithmetic_mean,none,50,28,0.010642558791554615,0.8978038230779963,0.08333333333333333,0.004449261308539159,0.008447500947636324,0.9836048723983171,0.7538185747390086,0.0053079607037687755,4920,246000,180.3743500000055,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/runs/A_C3/run_summary.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/runs/A_C3/round_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/metrics/A_C3_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/models/A_C3/model_manifest.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/ledgers/A_C3_ledger.jsonl,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/plots/convergence_A_C3.svg,,,,feature_vector_as_sequence,,,,,15,"[[160786, 858], [17453, 78]]"
B_C1,1,HAI 21.03,baseline_uniform_hierarchical,hierarchical_fixed,cnn1d,FedAvg,weighted_arithmetic_mean,agglomerative,50,50,0.0,0.9896690879741727,0.0,0.0,0.0,0.8344345080329474,0.3551420763424446,0.0,163184,8159200,96.92407070799527,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/runs/B_C1/run_summary.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/runs/B_C1/round_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/metrics/B_C1_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/models/B_C1/model_manifest.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/ledgers/B_C1_ledger.jsonl,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/plots/convergence_B_C1.svg,,,,sliding_window_feature_channels,866d3cc56e44be563b9f9a489c87a5957dcf6d108c2a096dfb809333dca64cc2,,,2,12,"[[24524, 0], [256, 0]]"
B_C2,2,TON IoT combined telemetry,baseline_uniform_hierarchical,hierarchical_fixed,cnn1d,FedAvg,weighted_arithmetic_mean,agglomerative,50,50,0.8,0.6666666666666666,0.6666666666666666,1.0,0.8,0.7558729975609322,0.8235666458358522,1.0,5904,295200,14.790098124998622,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/runs/B_C2/run_summary.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/runs/B_C2/round_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/metrics/B_C2_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/models/B_C2/model_manifest.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/ledgers/B_C2_ledger.jsonl,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/plots/convergence_B_C2.svg,,,,feature_vector_as_sequence,572fc5b59e36576bcd52becf06e8095decd701dade53abf72f398ffcda6c02cd,,,3,15,"[[0, 5925], [0, 11850]]"
B_C3,3,WUSTL-IIOT-2021,baseline_uniform_hierarchical,hierarchical_fixed,cnn1d,FedAvg,weighted_arithmetic_mean,agglomerative,50,18,0.010102169670531512,0.8980996232733361,0.08266360505166476,0.004107010438651531,0.0078252363873492,0.9827336436296281,0.7548066709239704,0.004942961074954839,5904,295200,180.08062020799844,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/runs/B_C3/run_summary.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/runs/B_C3/round_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/metrics/B_C3_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/models/B_C3/model_manifest.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/ledgers/B_C3_ledger.jsonl,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/plots/convergence_B_C3.svg,,,,feature_vector_as_sequence,f56d3171e2e665c9b46abf6a8b64524a2e8689417598358c290f3cb7d4237770,,,3,15,"[[160845, 799], [17459, 72]]"
P_C1,1,HAI 21.03,proposed_specialized_hierarchical,hierarchical_fixed,tcn,FedBN,weighted_non_bn_mean,agglomerative,50,31,0.6272189349112426,0.9930992736077482,0.9292929292929293,0.359375,0.5183098591549296,0.7825871786311369,0.5190394307132689,0.0002854346762355244,2964080,148204000,928.9195912499999,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/runs/P_C1/run_summary.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/runs/P_C1/round_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/metrics/P_C1_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/models/P_C1/model_manifest.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/ledgers/P_C1_ledger.jsonl,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/plots/convergence_P_C1.svg,,,,sliding_window_feature_channels,866d3cc56e44be563b9f9a489c87a5957dcf6d108c2a096dfb809333dca64cc2,,,2,12,"[[24517, 7], [164, 92]]"
P_C2,2,TON IoT combined telemetry,proposed_specialized_hierarchical,hierarchical_fixed,compact_mlp,FedProx,weighted_arithmetic_mean,agglomerative,50,50,0.8648688099843083,0.8,0.7692307692307693,1.0,0.8695652173913043,0.8110169666542043,0.855178696698054,0.6,442512,22125600,10.730791582995153,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/runs/P_C2/run_summary.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/runs/P_C2/round_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/metrics/P_C2_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/models/P_C2/model_manifest.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/ledgers/P_C2_ledger.jsonl,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/plots/convergence_P_C2.svg,,,,feature_vector_as_sequence,572fc5b59e36576bcd52becf06e8095decd701dade53abf72f398ffcda6c02cd,batch_x_features,0.01,3,15,"[[2370, 3555], [0, 11850]]"
P_C3,3,WUSTL-IIOT-2021,proposed_specialized_hierarchical,hierarchical_fixed,cnn1d,SCAFFOLD,weighted_arithmetic_mean,agglomerative,50,42,0.6889131771295853,0.9550272080368355,0.7999493382306377,0.720552164736752,0.7581777804453514,0.9836592721567876,0.7487750378199967,0.01954294622751231,11808,590400,182.45721320900338,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/runs/P_C3/run_summary.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/runs/P_C3/round_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/metrics/P_C3_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/models/P_C3/model_manifest.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/ledgers/P_C3_ledger.jsonl,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/plots/convergence_P_C3.svg,164,5904,0.011838157625910112,feature_vector_as_sequence,f56d3171e2e665c9b46abf6a8b64524a2e8689417598358c290f3cb7d4237770,,,3,15,"[[158485, 3159], [4899, 12632]]"
AB_C1_FEDAVG_TCN,1,HAI 21.03,ablation_fl_method,hierarchical_fixed,tcn,FedAvg,weighted_arithmetic_mean,agglomerative,50,50,0.4,0.9918886198547215,0.9661016949152542,0.22265625,0.3619047619047619,0.8394531090717257,0.5148940905987406,8.155276463872126e-05,3036096,151804800,1139.4501849160006,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/runs/AB_C1_FEDAVG_TCN/run_summary.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/runs/AB_C1_FEDAVG_TCN/round_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/metrics/AB_C1_FEDAVG_TCN_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/models/AB_C1_FEDAVG_TCN/model_manifest.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/ledgers/AB_C1_FEDAVG_TCN_ledger.jsonl,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/plots/convergence_AB_C1_FEDAVG_TCN.svg,,,,sliding_window_feature_channels,866d3cc56e44be563b9f9a489c87a5957dcf6d108c2a096dfb809333dca64cc2,,,2,12,"[[24522, 2], [199, 57]]"
AB_C2_FEDAVG_MLP,2,TON IoT combined telemetry,ablation_fl_method,hierarchical_fixed,compact_mlp,FedAvg,weighted_arithmetic_mean,agglomerative,50,50,0.8,0.6666666666666666,0.6666666666666666,1.0,0.8,0.8139013477184924,0.8609793269766998,1.0,442512,22125600,9.805582542001503,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/runs/AB_C2_FEDAVG_MLP/run_summary.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/runs/AB_C2_FEDAVG_MLP/round_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/metrics/AB_C2_FEDAVG_MLP_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/models/AB_C2_FEDAVG_MLP/model_manifest.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/ledgers/AB_C2_FEDAVG_MLP_ledger.jsonl,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/plots/convergence_AB_C2_FEDAVG_MLP.svg,,,,feature_vector_as_sequence,572fc5b59e36576bcd52becf06e8095decd701dade53abf72f398ffcda6c02cd,batch_x_features,,3,15,"[[0, 5925], [0, 11850]]"
AB_C3_FEDAVG_CNN1D,3,WUSTL-IIOT-2021,ablation_fl_method,hierarchical_fixed,cnn1d,FedAvg,weighted_arithmetic_mean,agglomerative,50,18,0.010102169670531512,0.8980996232733361,0.08266360505166476,0.004107010438651531,0.0078252363873492,0.9827336436296281,0.7548066709239705,0.004942961074954839,5904,295200,246.07770137499756,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/runs/AB_C3_FEDAVG_CNN1D/run_summary.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/runs/AB_C3_FEDAVG_CNN1D/round_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/metrics/AB_C3_FEDAVG_CNN1D_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/models/AB_C3_FEDAVG_CNN1D/model_manifest.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/ledgers/AB_C3_FEDAVG_CNN1D_ledger.jsonl,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs/plots/convergence_AB_C3_FEDAVG_CNN1D.svg,,,,feature_vector_as_sequence,f56d3171e2e665c9b46abf6a8b64524a2e8689417598358c290f3cb7d4237770,,,3,15,"[[160845, 799], [17459, 72]]"
