experiment_id,status,cluster_id,dataset,model,fl_method,aggregation,hierarchy_type,clustering_type,expected_seeds,successful_seeds,missing_seeds,failed_seeds,partial_seeds,successful_seed_count,test_accuracy_mean,test_accuracy_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_f1_mean,test_f1_std,test_auroc_mean,test_auroc_std,test_pr_auc_mean,test_pr_auc_std,test_fpr_mean,test_fpr_std,wall_clock_training_seconds_mean,wall_clock_training_seconds_std,total_communication_cost_bytes_mean,total_communication_cost_bytes_std,notes
A_C1,PARTIAL,1,HAI_2103,cnn1d,FedAvg,weighted_arithmetic_mean,flat,none,"42,123,2025",42,"123,2025",,,1,0.9896690879741727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8340363011743599,0.0,0.3551872102134908,0.0,0.0,0.0,123.23742154099455,0.0,6993600.0,0.0,seed 123 MISSING; seed 2025 MISSING
A_C2,PARTIAL,2,TON_IoT_combined_telemetry,cnn1d,FedAvg,weighted_arithmetic_mean,flat,none,"42,123,2025",42,"123,2025",,,1,0.6666666666666666,0.0,0.6666666666666666,0.0,1.0,0.0,0.8,0.0,0.7558120101835532,0.0,0.8241162054228939,0.0,1.0,0.0,17.978633082995657,0.0,246000.0,0.0,seed 123 MISSING; seed 2025 MISSING
A_C3,PARTIAL,3,WUSTL_IIOT_2021,cnn1d,FedAvg,weighted_arithmetic_mean,flat,none,"42,123,2025",42,"123,2025",,,1,0.8978038230779963,0.0,0.08333333333333333,0.0,0.004449261308539159,0.0,0.008447500947636324,0.0,0.9836048723983172,0.0,0.7538185747390085,0.0,0.0053079607037687755,0.0,236.32121875000303,0.0,246000.0,0.0,seed 123 MISSING; seed 2025 MISSING
B_C1,PARTIAL,1,HAI_2103,cnn1d,FedAvg,weighted_arithmetic_mean,hierarchical_fixed,agglomerative,"42,123,2025",42,"123,2025",,,1,0.9896690879741727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8344345080329474,0.0,0.3551420763424446,0.0,0.0,0.0,121.73666349999257,0.0,8159200.0,0.0,seed 123 MISSING; seed 2025 MISSING
B_C2,PARTIAL,2,TON_IoT_combined_telemetry,cnn1d,FedAvg,weighted_arithmetic_mean,hierarchical_fixed,agglomerative,"42,123,2025",42,"123,2025",,,1,0.6666666666666666,0.0,0.6666666666666666,0.0,1.0,0.0,0.8,0.0,0.7558729975609322,0.0,0.8235666458358522,0.0,1.0,0.0,19.12171574999229,0.0,295200.0,0.0,seed 123 MISSING; seed 2025 MISSING
B_C3,PARTIAL,3,WUSTL_IIOT_2021,cnn1d,FedAvg,weighted_arithmetic_mean,hierarchical_fixed,agglomerative,"42,123,2025",42,"123,2025",,,1,0.8980996232733361,0.0,0.08266360505166476,0.0,0.004107010438651531,0.0,0.0078252363873492,0.0,0.9827336436296281,0.0,0.7548066709239705,0.0,0.004942961074954839,0.0,260.87887587500154,0.0,295200.0,0.0,seed 123 MISSING; seed 2025 MISSING
P_C1,PARTIAL,1,HAI_2103,tcn,FedBN,weighted_non_bn_mean,hierarchical_fixed,agglomerative,"42,123,2025",42,"123,2025",,,1,0.9930992736077482,0.0,0.9292929292929293,0.0,0.359375,0.0,0.5183098591549296,0.0,0.7825871786311369,0.0,0.5190394307132687,0.0,0.0002854346762355244,0.0,1122.7118752079987,0.0,148204000.0,0.0,seed 123 MISSING; seed 2025 MISSING
P_C2,PARTIAL,2,TON_IoT_combined_telemetry,compact_mlp,FedProx,weighted_arithmetic_mean,hierarchical_fixed,agglomerative,"42,123,2025",42,"123,2025",,,1,0.8,0.0,0.7692307692307693,0.0,1.0,0.0,0.8695652173913043,0.0,0.8110169666542043,0.0,0.855178696698054,0.0,0.6,0.0,11.064054082991788,0.0,22125600.0,0.0,seed 123 MISSING; seed 2025 MISSING
P_C3,PARTIAL,3,WUSTL_IIOT_2021,cnn1d,SCAFFOLD,weighted_arithmetic_mean,hierarchical_fixed,agglomerative,"42,123,2025",42,"123,2025",,,1,0.9550272080368355,0.0,0.7999493382306377,0.0,0.720552164736752,0.0,0.7581777804453514,0.0,0.9836592721567877,0.0,0.7487750378199967,0.0,0.01954294622751231,0.0,251.0429080830072,0.0,590400.0,0.0,seed 123 MISSING; seed 2025 MISSING
AB_C1_FEDAVG_TCN,PARTIAL,1,HAI_2103,tcn,FedAvg,weighted_arithmetic_mean,hierarchical_fixed,agglomerative,"42,123,2025",42,"123,2025",,,1,0.9918886198547215,0.0,0.9661016949152542,0.0,0.22265625,0.0,0.3619047619047619,0.0,0.8394531090717257,0.0,0.5148940905987406,0.0,8.155276463872126e-05,0.0,1131.2412997499923,0.0,151804800.0,0.0,seed 123 MISSING; seed 2025 MISSING
AB_C2_FEDAVG_MLP,PARTIAL,2,TON_IoT_combined_telemetry,compact_mlp,FedAvg,weighted_arithmetic_mean,hierarchical_fixed,agglomerative,"42,123,2025",42,"123,2025",,,1,0.6666666666666666,0.0,0.6666666666666666,0.0,1.0,0.0,0.8,0.0,0.8139013477184924,0.0,0.8609793269766998,0.0,1.0,0.0,10.03515008300019,0.0,22125600.0,0.0,seed 123 MISSING; seed 2025 MISSING
AB_C3_FEDAVG_CNN1D,PARTIAL,3,WUSTL_IIOT_2021,cnn1d,FedAvg,weighted_arithmetic_mean,hierarchical_fixed,agglomerative,"42,123,2025",42,"123,2025",,,1,0.8980996232733361,0.0,0.08266360505166476,0.0,0.004107010438651531,0.0,0.0078252363873492,0.0,0.9827336436296281,0.0,0.7548066709239705,0.0,0.004942961074954839,0.0,250.17142441599572,0.0,295200.0,0.0,seed 123 MISSING; seed 2025 MISSING
