experiment_id,cluster_id,dataset,run_category,hierarchy,model_family,fl_method,aggregation,clustering_method,rounds,best_validation_round,best_validation_f1,best_validation_f1_default_threshold,threshold_used,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,test_confusion_matrix,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold,test_confusion_matrix_default_threshold,communication_cost_per_round_bytes,total_communication_cost_bytes,wall_clock_training_seconds,positive_class_weight,membership_hash,summary_path,round_metrics_path,metrics_csv_path,ledger_path,convergence_plot_path,model_manifest_path,control_variate_bytes,control_variate_communication_cost_per_round_bytes,final_server_control_variate_l2_norm,input_adapter,model_input_layout,mu,n_subclusters,num_leaf_clients
A_C1,1,HAI 21.03,baseline_flat,flat,cnn1d,FedAvg,weighted_arithmetic_mean,,50,40,0.7027027027027027,0.2908366533864542,0.9642142653465271,0.9934624697336562,0.9122807017543859,0.40625,0.5621621621621622,0.8997713336935247,0.5194450729573689,0.0004077638231936063,"[[24514, 10], [152, 104]]",0.9920500403551251,0.656084656084656,0.484375,0.5573033707865168,0.8997713336935247,0.5194450729573689,0.0026504648507584406,"[[24459, 65], [132, 124]]",139872,6993600,100.87673095900391,120.23141361256545,,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/runs/A_C1/run_summary.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/runs/A_C1/round_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/metrics/A_C1_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/ledgers/A_C1_ledger.jsonl,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/plots/convergence_A_C1.svg,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/models/A_C1/model_manifest.json,,,,sliding_window_feature_channels,,,,12
A_C2,2,TON IoT combined telemetry,baseline_flat,flat,cnn1d,FedAvg,weighted_arithmetic_mean,,50,1,0.9115505510683165,0.8,0.5080185532569885,0.8950773558368496,0.868749538370633,0.9925738396624473,0.9265429910591201,0.7873180508821593,0.8337321641663626,0.299915611814346,"[[4148, 1777], [88, 11762]]",0.6666666666666666,0.6666666666666666,1.0,0.8,0.7873180508821593,0.8337321641663626,1.0,"[[0, 5925], [0, 11850]]",4920,246000,9.347569792000286,0.6657829728264144,,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/runs/A_C2/run_summary.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/runs/A_C2/round_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/metrics/A_C2_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/ledgers/A_C2_ledger.jsonl,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/plots/convergence_A_C2.svg,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/models/A_C2/model_manifest.json,,,,feature_vector_as_sequence,,,,15
A_C3,3,WUSTL-IIOT-2021,baseline_flat,flat,cnn1d,FedAvg,weighted_arithmetic_mean,,50,50,0.8737417005782823,0.009452226397904566,0.007514748256653547,0.9710785544858379,0.7758566769423223,0.9905881010780903,0.8701708673648344,0.9783569332707255,0.6480886611275047,0.031037341317957982,"[[156627, 5017], [165, 17366]]",0.8970224640714385,0.0551257253384913,0.0032513832639324623,0.006140587126312954,0.9783569332707255,0.6480886611275047,0.0060441463957833265,"[[160667, 977], [17474, 57]]",4920,246000,229.38141787499626,14.747824612950616,,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/runs/A_C3/run_summary.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/runs/A_C3/round_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/metrics/A_C3_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/ledgers/A_C3_ledger.jsonl,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/plots/convergence_A_C3.svg,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/models/A_C3/model_manifest.json,,,,feature_vector_as_sequence,,,,15
B_C1,1,HAI 21.03,baseline_uniform_hierarchical,hierarchical_fixed,cnn1d,FedAvg,weighted_arithmetic_mean,agglomerative,50,39,0.7027027027027027,0.3037974683544304,0.9632313847541809,0.9934624697336562,0.9122807017543859,0.40625,0.5621621621621622,0.899704992430884,0.519671859183932,0.0004077638231936063,"[[24514, 10], [152, 104]]",0.9921307506053268,0.6613756613756614,0.48828125,0.5617977528089888,0.899704992430884,0.519671859183932,0.0026096884684390803,"[[24460, 64], [131, 125]]",163184,8159200,109.58879395900294,120.23141361256545,866d3cc56e44be563b9f9a489c87a5957dcf6d108c2a096dfb809333dca64cc2,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/runs/B_C1/run_summary.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/runs/B_C1/round_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/metrics/B_C1_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/ledgers/B_C1_ledger.jsonl,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/plots/convergence_B_C1.svg,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/models/B_C1/model_manifest.json,,,,sliding_window_feature_channels,,,2,12
B_C2,2,TON IoT combined telemetry,baseline_uniform_hierarchical,hierarchical_fixed,cnn1d,FedAvg,weighted_arithmetic_mean,agglomerative,50,1,0.9115505510683165,0.8,0.5080230236053467,0.8950773558368496,0.868749538370633,0.9925738396624473,0.9265429910591201,0.7873050259039684,0.8337393295535916,0.299915611814346,"[[4148, 1777], [88, 11762]]",0.6666666666666666,0.6666666666666666,1.0,0.8,0.7873050259039684,0.8337393295535916,1.0,"[[0, 5925], [0, 11850]]",5904,295200,9.686920500003907,0.6657829728264144,572fc5b59e36576bcd52becf06e8095decd701dade53abf72f398ffcda6c02cd,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/runs/B_C2/run_summary.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/runs/B_C2/round_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/metrics/B_C2_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/ledgers/B_C2_ledger.jsonl,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/plots/convergence_B_C2.svg,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/models/B_C2/model_manifest.json,,,,feature_vector_as_sequence,,,3,15
B_C3,3,WUSTL-IIOT-2021,baseline_uniform_hierarchical,hierarchical_fixed,cnn1d,FedAvg,weighted_arithmetic_mean,agglomerative,50,42,0.8744746352563244,0.00648169206277007,0.009300285018980503,0.9712404074229105,0.7761713520749666,0.9921852718042325,0.8709847024360933,0.9780082207158196,0.6438121505498337,0.031031154883571305,"[[156628, 5016], [137, 17394]]",0.8966429468396818,0.027724665391969407,0.0016542125377902001,0.0031221402809926252,0.9780082207158196,0.6438121505498337,0.006291603771250402,"[[160627, 1017], [17502, 29]]",5904,295200,182.89560275000258,14.747824612950616,f56d3171e2e665c9b46abf6a8b64524a2e8689417598358c290f3cb7d4237770,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/runs/B_C3/run_summary.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/runs/B_C3/round_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/metrics/B_C3_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/ledgers/B_C3_ledger.jsonl,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/plots/convergence_B_C3.svg,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/models/B_C3/model_manifest.json,,,,feature_vector_as_sequence,,,3,15
P_C1,1,HAI 21.03,proposed_specialized_hierarchical,hierarchical_fixed,tcn,FedBN,weighted_non_bn_mean,agglomerative,50,40,0.56353591160221,0.09793103448275862,0.9929866194725037,0.9925343018563357,0.8256880733944955,0.3515625,0.4931506849315068,0.8388812840227939,0.4198314454344678,0.0007747512640678519,"[[24505, 19], [166, 90]]",0.9306295399515738,0.08128219805380653,0.5546875,0.1417873190214678,0.8388812840227939,0.4198314454344678,0.06544609362257381,"[[22919, 1605], [114, 142]]",2964080,148204000,886.0748556250037,120.23141361256545,866d3cc56e44be563b9f9a489c87a5957dcf6d108c2a096dfb809333dca64cc2,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/runs/P_C1/run_summary.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/runs/P_C1/round_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/metrics/P_C1_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/ledgers/P_C1_ledger.jsonl,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/plots/convergence_P_C1.svg,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/models/P_C1/model_manifest.json,,,,sliding_window_feature_channels,,,2,12
P_C2,2,TON IoT combined telemetry,proposed_specialized_hierarchical,hierarchical_fixed,compact_mlp,FedProx,weighted_arithmetic_mean,agglomerative,50,50,0.9270453565408288,0.8648688099843083,0.637915849685669,0.8985091420534459,0.867877545041746,1.0,0.9292659974905897,0.8124017732201038,0.8557143271227138,0.3044725738396625,"[[4121, 1804], [0, 11850]]",0.8,0.7692307692307693,1.0,0.8695652173913043,0.8124017732201038,0.8557143271227138,0.6,"[[2370, 3555], [0, 11850]]",442512,22125600,11.268046958000923,0.6657829728264144,572fc5b59e36576bcd52becf06e8095decd701dade53abf72f398ffcda6c02cd,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/runs/P_C2/run_summary.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/runs/P_C2/round_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/metrics/P_C2_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/ledgers/P_C2_ledger.jsonl,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/plots/convergence_P_C2.svg,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/models/P_C2/model_manifest.json,,,,feature_vector_as_sequence,batch_x_features,0.01,3,15
P_C3,3,WUSTL-IIOT-2021,proposed_specialized_hierarchical,hierarchical_fixed,cnn1d,SCAFFOLD,weighted_arithmetic_mean,agglomerative,50,50,0.8694008995821467,0.7991785497353426,0.13174223899841309,0.9707715920189759,0.7714386646648415,0.9965204494894758,0.8696517908255967,0.9812904781020331,0.6900707099878111,0.032020984385439606,"[[156468, 5176], [61, 17470]]",0.9626454583507744,0.7685864393338621,0.8845473732245737,0.8224998010979394,0.9812904781020331,0.6900707099878111,0.02888446215139442,"[[156975, 4669], [2024, 15507]]",11808,590400,132.40873408300104,14.747824612950616,f56d3171e2e665c9b46abf6a8b64524a2e8689417598358c290f3cb7d4237770,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/runs/P_C3/run_summary.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/runs/P_C3/round_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/metrics/P_C3_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/ledgers/P_C3_ledger.jsonl,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/plots/convergence_P_C3.svg,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/models/P_C3/model_manifest.json,164,5904,0.01778540968985691,feature_vector_as_sequence,,,3,15
AB_C1_FEDAVG_TCN,1,HAI 21.03,ablation_fl_method,hierarchical_fixed,tcn,FedAvg,weighted_arithmetic_mean,agglomerative,50,21,0.6976744186046512,0.5627705627705628,0.8067960739135742,0.9930992736077482,0.8346456692913385,0.4140625,0.5535248041775457,0.7855052384908661,0.5111884621971166,0.0008563040287065731,"[[24503, 21], [150, 106]]",0.9929378531073446,0.7484662576687117,0.4765625,0.5823389021479713,0.7855052384908661,0.5111884621971166,0.0016718316750937857,"[[24483, 41], [134, 122]]",3036096,151804800,870.2191899999962,120.23141361256545,866d3cc56e44be563b9f9a489c87a5957dcf6d108c2a096dfb809333dca64cc2,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/runs/AB_C1_FEDAVG_TCN/run_summary.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/runs/AB_C1_FEDAVG_TCN/round_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/metrics/AB_C1_FEDAVG_TCN_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/ledgers/AB_C1_FEDAVG_TCN_ledger.jsonl,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/plots/convergence_AB_C1_FEDAVG_TCN.svg,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/models/AB_C1_FEDAVG_TCN/model_manifest.json,,,,sliding_window_feature_channels,,,2,12
AB_C2_FEDAVG_MLP,2,TON IoT combined telemetry,ablation_fl_method,hierarchical_fixed,compact_mlp,FedAvg,weighted_arithmetic_mean,agglomerative,50,50,0.9270453565408288,0.8,0.8570539951324463,0.8983966244725738,0.8677504393673111,1.0,0.9291931310279934,0.8139000516299026,0.861005362428506,0.30481012658227846,"[[4119, 1806], [0, 11850]]",0.6666666666666666,0.6666666666666666,1.0,0.8,0.8139000516299026,0.861005362428506,1.0,"[[0, 5925], [0, 11850]]",442512,22125600,10.213762375002261,0.6657829728264144,572fc5b59e36576bcd52becf06e8095decd701dade53abf72f398ffcda6c02cd,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/runs/AB_C2_FEDAVG_MLP/run_summary.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/runs/AB_C2_FEDAVG_MLP/round_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/metrics/AB_C2_FEDAVG_MLP_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/ledgers/AB_C2_FEDAVG_MLP_ledger.jsonl,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/plots/convergence_AB_C2_FEDAVG_MLP.svg,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/models/AB_C2_FEDAVG_MLP/model_manifest.json,,,,feature_vector_as_sequence,batch_x_features,,3,15
AB_C3_FEDAVG_CNN1D,3,WUSTL-IIOT-2021,ablation_fl_method,hierarchical_fixed,cnn1d,FedAvg,weighted_arithmetic_mean,agglomerative,50,42,0.8744746352563244,0.00648169206277007,0.009300285018980503,0.9712404074229105,0.7761713520749666,0.9921852718042325,0.8709847024360933,0.9780082207158196,0.6438121505498337,0.031031154883571305,"[[156628, 5016], [137, 17394]]",0.8966429468396818,0.027724665391969407,0.0016542125377902001,0.0031221402809926252,0.9780082207158196,0.6438121505498337,0.006291603771250402,"[[160627, 1017], [17502, 29]]",5904,295200,130.098787834002,14.747824612950616,f56d3171e2e665c9b46abf6a8b64524a2e8689417598358c290f3cb7d4237770,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/runs/AB_C3_FEDAVG_CNN1D/run_summary.json,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/runs/AB_C3_FEDAVG_CNN1D/round_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/metrics/AB_C3_FEDAVG_CNN1D_metrics.csv,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/ledgers/AB_C3_FEDAVG_CNN1D_ledger.jsonl,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/plots/convergence_AB_C3_FEDAVG_CNN1D.svg,/Users/anilkumar/Desktop/Thesis/fcfl-cps-ids/outputs_v2/models/AB_C3_FEDAVG_CNN1D/model_manifest.json,,,,feature_vector_as_sequence,,,3,15
